team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Kolkata Knight Riders,Finn Allen,True,wicketkeeper,60.0,1843.0,969.0,143.0,141.0,60.0,53.0,4.0,9.0,26.0,17.0,9.0,5.0,3.0,42.0,62.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,3.0,5.0
Kolkata Knight Riders,Tim Seifert,True,wicketkeeper,73.0,2132.0,1423.0,210.0,102.0,73.0,66.0,4.0,13.0,35.0,18.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,12.0,8.0
Kolkata Knight Riders,Rahul Tripathi,False,batter,15.0,179.0,207.0,18.0,3.0,14.0,14.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kolkata Knight Riders,Kartik Tyagi,False,bowler,14.6,39.0,47.0,2.0,2.0,11.0,6.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,277.8,368.3,16.2,110.0,0.0,28.2,3.3,4.0,4.3,0.3,0.0,0.0,0.0,5.0,0.0,1.0,1.0
Kolkata Knight Riders,Daksh Kamra,False,bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata Knight Riders,Sarthak Ranjan,False,all_rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata Knight Riders,Prashant Solanki,False,bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata Knight Riders,Akashdeep,False,bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolkata Knight Riders,Rachin Ravindra,True,all_rounder,50.0,1158.0,776.0,112.0,46.0,49.0,44.0,2.0,11.0,21.0,12.0,4.0,0.0,0.0,311.0,420.0,23.0,119.0,1.0,9.0,2.0,5.0,6.0,2.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0
Kolkata Knight Riders,Ajinkya Rahane,False,batter,12.0,390.0,264.0,36.0,20.0,12.0,11.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Kolkata Knight Riders,Sunil Narine,False,all_rounder,57.0,425.0,283.0,37.0,31.0,35.0,30.0,5.0,17.0,8.0,2.0,0.0,0.0,0.0,1332.0,1453.0,44.0,504.0,3.0,31.0,4.0,16.0,12.0,4.0,0.0,0.0,0.0,14.0,0.0,2.0,1.0
Kolkata Knight Riders,Rinku Singh,False,batter,42.0,577.0,428.0,49.0,27.0,40.0,27.0,3.0,11.0,8.0,3.0,0.0,0.0,0.0,142.0,210.0,6.0,48.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,44.0,0.0,3.0,7.0
Kolkata Knight Riders,Angkrish Raghuvanshi,False,batter,11.0,300.0,215.0,30.0,8.0,11.0,9.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Kolkata Knight Riders,Manish Pandey,False,batter,11.0,252.0,224.0,18.0,9.0,11.0,9.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,42.0,59.0,2.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Kolkata Knight Riders,Varun Chakravarthy,False,bowler,43.0,4.0,12.0,0.0,0.0,9.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,960.0,1253.0,71.0,366.0,1.0,18.0,0.0,32.0,24.0,6.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0
Kolkata Knight Riders,Ramandeep Singh,False,all_rounder,8.8,68.0,46.1,2.5,5.5,7.75,5.3,1.0,4.0,0.3,0.0,0.0,0.0,0.0,30.0,51.6,1.5,0.0,0.0,3.9,0.0,0.0,0.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
Kolkata Knight Riders,Ankul Roy,False,all_rounder,44.0,995.0,795.0,92.0,35.0,44.0,41.0,3.0,14.0,17.0,8.0,4.0,1.0,0.0,24.0,27.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,3.0,6.0
Kolkata Knight Riders,Rovman Powell,True,batter,61.0,1313.0,859.0,88.0,87.0,61.0,44.0,3.0,17.0,24.0,11.0,3.0,1.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,5.0
Kolkata Knight Riders,Harshit Rana,False,bowler,21.0,114.0,107.0,9.0,5.0,10.0,6.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,432.0,745.0,24.0,163.0,1.0,13.0,3.0,6.0,8.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0
Kolkata Knight Riders,Vaibhav Arora,False,bowler,12.0,0.0,8.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,255.0,430.0,17.0,93.0,1.0,17.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0
Kolkata Knight Riders,Umran Malik,False,bowler,2.8,17.6,17.7,0.3,0.3,1.25,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,64.4,0.3,3.0,0.0,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Royal Challengers Bengaluru,Venkatesh Iyer,False,all_rounder,7.0,142.0,102.0,15.0,4.0,7.0,7.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0
Royal Challengers Bengaluru,Mangesh Yadav,False,bowler,8.2,84.0,94.0,5.0,2.0,6.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,71.4,130.4,4.6,24.0,0.0,5.9,0.0,3.0,2.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
Royal Challengers Bengaluru,Jacob Duffy,True,bowler,51.0,64.0,50.0,2.0,3.0,16.0,8.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1050.0,1484.0,68.0,461.0,1.0,64.0,2.0,12.0,21.0,7.0,3.0,0.0,0.0,11.0,0.0,1.0,2.0
Royal Challengers Bengaluru,Satwik Deswal,False,bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
