team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Kolkata Knight Riders,Vaibhav Arora,False,bowler,12,0,8,0,0,2,2,2,2,0,0,0,0,0,255,430,17,93,1,17,0,3,4,2,0,0,0,4,0,2,1
Kolkata Knight Riders,Umran Malik,False,bowler,2,14,15,0,0,1,1,0,0,0,0,0,0,0,12,35,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Royal Challengers Bengaluru,Venkatesh Iyer,False,all_rounder,7,142,102,15,4,7,7,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1
Royal Challengers Bengaluru,Mangesh Yadav,False,bowler,8,84,94,5,2,6,4,0,2,2,0,0,0,0,66,119,4,24,0,5,0,3,2,0,0,0,0,3,0,0,1
Royal Challengers Bengaluru,Jacob Duffy,True,bowler,51,64,50,2,3,16,8,3,13,0,0,0,0,0,1050,1484,68,461,1,64,2,12,21,7,3,0,0,11,0,1,2
Royal Challengers Bengaluru,Satwik Deswal,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Challengers Bengaluru,Jordan Cox,True,wicketkeeper,60,1599,1139,136,66,60,47,4,15,25,16,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,6,9
Royal Challengers Bengaluru,Vihaan Malhotra,False,batter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Challengers Bengaluru,Kanishk Chouhan,False,all_rounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Challengers Bengaluru,Vicky Ostwal,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Challengers Bengaluru,Rajat Patidar,False,batter,14,312,217,25,14,14,13,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Royal Challengers Bengaluru,Virat Kohli,False,batter,15,657,454,66,19,15,12,0,1,11,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
Royal Challengers Bengaluru,Devdutt Padikkal,False,batter,10,247,164,22,14,10,9,1,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Royal Challengers Bengaluru,Phil Salt,True,wicketkeeper,63,1795,1180,179,81,63,59,4,21,31,18,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,6
Royal Challengers Bengaluru,Jitesh Sharma,False,wicketkeeper,15,323,187,29,20,15,9,0,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,3,6
Royal Challengers Bengaluru,Krunal Pandya,False,all_rounder,15,109,86,9,4,7,6,1,4,1,1,1,0,0,276,379,17,83,0,9,0,2,5,2,1,0,0,6,0,0,0
Royal Challengers Bengaluru,Swapnil Singh,False,all_rounder,18,97,146,9,0,13,11,4,8,2,0,0,0,0,138,210,4,57,1,2,1,0,2,0,0,0,0,9,0,2,1
Royal Challengers Bengaluru,Tim David,True,batter,48,1237,719,86,94,48,34,2,9,19,11,6,2,1,30,43,0,7,0,1,0,0,0,0,0,0,0,33,0,6,9
Royal Challengers Bengaluru,Romario Shepherd,True,all_rounder,71,950,554,65,74,58,34,3,16,12,5,1,0,0,1021,1643,55,320,0,91,6,14,13,3,1,1,0,16,0,2,2
Royal Challengers Bengaluru,Jacob Bethell,True,all_rounder,41,899,628,76,48,41,37,1,8,12,6,2,2,1,193,281,15,57,0,10,0,1,4,1,1,0,0,24,0,3,5
Royal Challengers Bengaluru,Josh Hazlewood,True,bowler,19,0,2,0,0,2,0,0,2,0,0,0,0,0,426,585,34,197,0,6,0,4,11,6,1,0,0,2,0,0,0
Royal Challengers Bengaluru,Yash Dayal,False,bowler,21,57,54,2,2,8,4,1,6,1,0,0,0,0,401,594,18,137,0,12,4,7,4,1,1,0,0,5,0,0,0
Royal Challengers Bengaluru,Bhuvneshwar Kumar,False,bowler,18,19,37,1,0,8,5,0,7,0,0,0,0,0,402,633,18,146,0,13,2,2,4,1,0,0,0,7,0,1,1
Royal Challengers Bengaluru,Nuwan Thushara,True,bowler,22,1,13,0,0,3,0,0,3,0,0,0,0,0,473,731,16,140,2,21,4,6,3,1,0,0,0,2,0,0,1
Royal Challengers Bengaluru,Rasikh Salam,False,bowler,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,70,1,13,0,2,0,0,0,0,0,0,0,1,0,0,0
Royal Challengers Bengaluru,Abhinandan Singh,False,bowler,3,30,28,2,1,3,2,0,1,0,0,0,0,0,30,56,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0
Royal Challengers Bengaluru,Suyash Sharma,False,bowler,36,37,26,0,3,7,5,2,4,0,0,0,0,0,769,1060,36,256,0,36,1,14,9,4,1,0,0,6,0,3,0
Punjab Kings,Cooper Connolly,True,all_rounder,29,415,316,27,24,28,23,6,13,6,3,1,0,0,408,501,22,154,0,14,0,10,5,1,0,0,0,15,0,0,3
Punjab Kings,Ben Dwarshuis,True,bowler,50,542,378,35,29,38,24,3,11,9,1,0,0,0,1070,1584,61,395,1,47,1,10,18,7,2,0,0,5,0,5,0
Punjab Kings,Praveen Dubey,False,bowler,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
